Trial,Result,Course
0,4.658459,0
1,3.874327,1
2,5.817585,2
3,4.276718,3
4,3.825848,4
5,4.391616,5
6,5.115345,6
7,4.79396,7
8,5.485276,8
9,3.824361,9

