Trial,Result,Course
0,4.5336,0
1,5.197502,1
2,5.275375,2
3,5.190782,3
4,5.633141,4
5,4.101597,5
6,6.625954,6
7,4.939279,7
8,6.832997,8
9,4.2435,9

