Trial,RestTime,LeftInput,RightInput,LeftPos_x,LeftPos_y,RightPos_x,RightPos_y,TargetPos_x,TargetPos_y,LineNum,
1,0.01999962,0,0,-7.997641,-0.4562045,7.995819,-0.4090278,0.01445906,-0.7804065,4,
1,0.0399996,0,0,-7.997635,-0.4561056,7.995812,-0.4088575,0.01448373,-0.7798264,4,
1,0.05999959,0,0,-7.997629,-0.4560066,7.995805,-0.4086871,0.01450841,-0.7792489,4,
1,0.07999957,0,0,-7.997623,-0.4559075,7.995798,-0.4085166,0.01453312,-0.778674,4,
1,0.09999955,0,0,-7.997618,-0.4558083,7.99579,-0.4083461,0.0145579,-0.7781019,4,
1,0.1199995,0,0,-7.997612,-0.4557091,7.995783,-0.4081756,0.01458275,-0.7775323,4,
1,0.1399995,0,0,-7.997606,-0.4556099,7.995776,-0.4080049,0.0146077,-0.7769653,4,
1,0.1599995,0,0,-7.997601,-0.4555105,7.995769,-0.4078342,0.01463275,-0.776401,4,
1,0.1799995,0,0,-7.997595,-0.4554111,7.995762,-0.4076635,0.01465788,-0.7758393,4,
1,0.1999995,0,0,-7.997589,-0.4553117,7.995755,-0.4074926,0.0146831,-0.7752801,4,
1,0.2199994,0,0,-7.997583,-0.4552122,7.995748,-0.4073217,0.01470841,-0.7747235,4,
1,0.2399994,0,0,-7.997578,-0.4551127,7.99574,-0.4071507,0.01473378,-0.7741696,4,
1,0.2599994,0,0,-7.997572,-0.4550131,7.995733,-0.4069797,0.01475921,-0.7736181,4,
1,0.2799994,0,0,-7.997566,-0.4549134,7.995726,-0.4068086,0.01478465,-0.7730692,4,
1,0.2999994,0,0,-7.997561,-0.4548137,7.995719,-0.4066374,0.0148101,-0.7725229,4,
1,0.3199993,0,0,-7.997555,-0.4547139,7.995712,-0.4064662,0.01483552,-0.771979,4,
1,0.3399993,0,0,-7.997549,-0.4546141,7.995705,-0.4062949,0.01486091,-0.7714376,4,
1,0.3599993,0,0,-7.997543,-0.4545142,7.995697,-0.4061236,0.01488623,-0.7708988,4,
1,0.3799993,0,0,-7.997538,-0.4544142,7.99569,-0.4059522,0.01491143,-0.7703623,4,
1,0.3999993,0,0,-7.997532,-0.4543141,7.995683,-0.4057808,0.01493649,-0.7698283,4,
1,0.4199992,0,0,-7.997526,-0.4542139,7.995676,-0.4056093,0.01496137,-0.7692965,4,
1,0.4399992,0,0,-7.99752,-0.4541137,7.995669,-0.4054379,0.01498604,-0.7687672,4,
1,0.4599992,0,0,-7.997515,-0.4540133,7.995662,-0.4052663,0.01501046,-0.76824,4,
1,0.4799992,0,0,-7.997509,-0.4539129,7.995655,-0.4050948,0.01503462,-0.7677152,4,
1,0.4999992,0,0,-7.997503,-0.4538124,7.995647,-0.4049233,0.01505847,-0.7671927,4,
1,0.5199991,0,0,-7.997498,-0.4537118,7.99564,-0.4047517,0.01508201,-0.7666724,4,
1,0.5399991,0,0,-7.997492,-0.453611,7.995633,-0.4045802,0.01510517,-0.7661541,4,
1,0.5599991,0,0,-7.997486,-0.4535102,7.995626,-0.4044086,0.01512795,-0.7656379,4,
1,0.5799991,0,0,-7.99748,-0.4534092,7.995619,-0.4042371,0.01515034,-0.7651239,4,
1,0.5999991,0,0,-7.997475,-0.4533082,7.995612,-0.4040656,0.01517232,-0.7646121,4,
1,0.6199991,0,0,-7.997469,-0.453207,7.995605,-0.4038941,0.01519385,-0.7641022,4,
1,0.639999,0,0,-7.997463,-0.4531057,7.995597,-0.4037226,0.01521493,-0.7635945,4,
1,0.659999,0,0,-7.997458,-0.4530042,7.99559,-0.4035511,0.01523557,-0.7630888,4,
1,0.679999,0,0,-7.997452,-0.4529027,7.995583,-0.4033797,0.01525575,-0.7625852,4,
1,0.699999,0,0,-7.997446,-0.452801,7.995576,-0.4032083,0.01527551,-0.7620835,4,
1,0.719999,0,0,-7.99744,-0.4526992,7.995569,-0.4030369,0.01529481,-0.7615837,4,
1,0.7399989,0,0,-7.997435,-0.4525973,7.995562,-0.4028655,0.01531368,-0.761086,4,
1,0.7599989,0,0,-7.997429,-0.4524952,7.995554,-0.4026942,0.01533211,-0.7605903,4,
1,0.7799989,0,0,-7.997423,-0.452393,7.995547,-0.4025229,0.01535013,-0.7600965,4,
1,0.7999989,0,0,-7.997417,-0.4522907,7.99554,-0.4023516,0.01536777,-0.7596048,4,
1,0.8199989,0,0,-7.997412,-0.4521882,7.995533,-0.4021803,0.01538503,-0.759115,4,
1,0.8399988,0,0,-7.997406,-0.4520856,7.995526,-0.4020091,0.01540196,-0.7586272,4,
1,0.8599988,0,0,-7.9974,-0.4519829,7.995519,-0.4018379,0.01541854,-0.7581412,4,
1,0.8799988,0,0,-7.997395,-0.4518801,7.995512,-0.4016666,0.01543483,-0.7576573,4,
1,0.8999988,0,0,-7.997389,-0.4517772,7.995504,-0.4014955,0.01545086,-0.7571753,4,
1,0.9199988,0,0,-7.997383,-0.4516741,7.995497,-0.4013243,0.01546664,-0.7566952,4,
1,0.9399987,0,0,-7.997377,-0.451571,7.99549,-0.4011531,0.01548219,-0.7562169,4,
1,0.9599987,0,0,-7.997372,-0.4514677,7.995483,-0.4009819,0.01549756,-0.7557406,4,
1,0.9799987,0,0,-7.997366,-0.4513643,7.995476,-0.4008107,0.01551277,-0.7552662,4,
1,0.9999987,0,0,-7.99736,-0.4512609,7.995469,-0.4006395,0.01552785,-0.7547938,4,
1,1.019999,0,0,-7.997355,-0.4511574,7.995461,-0.4004683,0.01554284,-0.7543233,4,
1,1.039999,0,0,-7.997349,-0.4510538,7.995454,-0.400297,0.01555774,-0.7538546,4,
1,1.059999,0,0,-7.997343,-0.4509501,7.995447,-0.4001258,0.01557259,-0.7533879,4,
1,1.079999,0,0,-7.997337,-0.4508463,7.99544,-0.3999546,0.01558741,-0.7529229,4,
1,1.099999,0,0,-7.997332,-0.4507425,7.995433,-0.3997832,0.01560221,-0.7524598,4,
1,1.119999,0,0,-7.997326,-0.4506386,7.995426,-0.3996119,0.015617,-0.7519987,4,
1,1.139999,0,0,-7.99732,-0.4505346,7.995419,-0.3994405,0.0156318,-0.7515393,4,
1,1.159999,0,0,-7.997314,-0.4504306,7.995411,-0.3992692,0.01564663,-0.7510818,4,
1,1.179999,0,0,-7.997309,-0.4503265,7.995404,-0.3990977,0.01566149,-0.7506261,4,
1,1.199999,0,0,-7.997303,-0.4502224,7.995397,-0.3989262,0.01567638,-0.7501724,4,
1,1.219999,0,0,-7.997297,-0.4501182,7.99539,-0.3987547,0.01569129,-0.7497204,4,
1,1.239999,0,0,-7.997292,-0.450014,7.995383,-0.3985832,0.01570623,-0.7492703,4,
1,1.259999,0,0,-7.997286,-0.4499097,7.995376,-0.3984117,0.01572118,-0.7488219,4,
1,1.279999,0,0,-7.99728,-0.4498053,7.995368,-0.39824,0.01573616,-0.7483754,4,
1,1.299999,0,0,-7.997274,-0.449701,7.995361,-0.3980684,0.01575114,-0.7479306,4,
1,1.319999,0,0,-7.997269,-0.4495965,7.995354,-0.3978967,0.01576611,-0.7474875,4,
1,1.339998,0,0,-7.997263,-0.449492,7.995347,-0.397725,0.01578106,-0.7470464,4,
1,1.359998,0,0,-7.997257,-0.4493874,7.99534,-0.3975533,0.01579596,-0.7466069,4,
1,1.379998,0,0,-7.997252,-0.4492828,7.995333,-0.3973815,0.0158108,-0.7461691,4,
1,1.399998,0,0,-7.997246,-0.4491781,7.995326,-0.3972097,0.01582556,-0.7457332,4,
1,1.419998,0,0,-7.99724,-0.4490734,7.995318,-0.3970379,0.01584022,-0.745299,4,
1,1.439998,0,0,-7.997234,-0.4489686,7.995311,-0.3968661,0.01585476,-0.7448665,4,
1,1.459998,0,0,-7.997229,-0.4488637,7.995304,-0.3966942,0.01586915,-0.7444356,4,
1,1.479998,0,0,-7.997223,-0.4487587,7.995297,-0.3965223,0.01588337,-0.7440064,4,
1,1.499998,0,0,-7.997217,-0.4486537,7.99529,-0.3963504,0.01589741,-0.7435789,4,
1,1.519998,0,0,-7.997211,-0.4485486,7.995283,-0.3961786,0.01591124,-0.7431532,4,
1,1.539998,0,0,-7.997206,-0.4484434,7.995275,-0.3960067,0.01592484,-0.7427289,4,
1,1.559998,0,0,-7.9972,-0.4483381,7.995268,-0.3958348,0.0159382,-0.7423064,4,
1,1.579998,0,0,-7.997194,-0.4482328,7.995261,-0.395663,0.01595131,-0.7418855,4,
1,1.599998,0,0,-7.997189,-0.4481273,7.995254,-0.3954912,0.01596413,-0.7414662,4,
1,1.619998,0,0,-7.997183,-0.4480218,7.995247,-0.3953193,0.01597666,-0.7410484,4,
1,1.639998,0,0,-7.997177,-0.4479162,7.99524,-0.3951474,0.01598888,-0.7406323,4,
1,1.659998,0,0,-7.997171,-0.4478104,7.995233,-0.3949756,0.01600081,-0.7402176,4,
1,1.679998,0,0,-7.997166,-0.4477046,7.995225,-0.3948038,0.01601241,-0.7398046,4,
1,1.699998,0,0,-7.99716,-0.4475987,7.995218,-0.394632,0.01602371,-0.7393931,4,
1,1.719998,0,0,-7.997154,-0.4474926,7.995211,-0.3944603,0.01603469,-0.7389832,4,
1,1.739998,0,0,-7.997149,-0.4473865,7.995204,-0.3942886,0.01604536,-0.7385747,4,
1,1.759998,0,0,-7.997143,-0.4472803,7.995197,-0.3941169,0.0160557,-0.7381678,4,
1,1.779998,0,0,-7.997137,-0.447174,7.99519,-0.3939452,0.01606572,-0.7377623,4,
1,1.799998,0,0,-7.997131,-0.4470676,7.995183,-0.3937735,0.01607545,-0.7373583,4,
1,1.819998,0,0,-7.997126,-0.446961,7.995175,-0.3936018,0.0160849,-0.7369559,4,
1,1.839998,0,0,-7.99712,-0.4468544,7.995168,-0.3934302,0.01609408,-0.7365549,4,
1,1.859998,0,0,-7.997113,-0.4467478,7.995161,-0.3932586,0.01610299,-0.7361554,4,
1,1.879998,0,0,-7.997106,-0.446641,7.995154,-0.3930871,0.01611163,-0.7357574,4,
1,1.899998,0,0,-7.997098,-0.4465341,7.995147,-0.3929155,0.01612005,-0.7353608,4,
1,1.919998,0,0,-7.997091,-0.4464271,7.99514,-0.392744,0.01612824,-0.7349656,4,
1,1.939998,0,0,-7.997084,-0.4463201,7.995132,-0.3925725,0.01613624,-0.7345719,4,
1,1.959998,0,0,-7.997077,-0.4462129,7.995125,-0.392401,0.01614406,-0.7341797,4,
1,1.979998,0,0,-7.99707,-0.4461057,7.995118,-0.3922294,0.01615172,-0.7337889,4,
1,1.999998,0,0,-7.997063,-0.4459984,7.995111,-0.3920579,0.01615923,-0.7333995,4,
1,2.019998,0,0,-7.997056,-0.445891,7.995104,-0.3918864,0.01616663,-0.7330115,4,
1,2.039998,0,0,-7.997048,-0.4457836,7.995097,-0.391715,0.01617392,-0.732625,4,
1,2.059998,0,0,-7.997041,-0.445676,7.99509,-0.3915435,0.01618113,-0.7322398,4,
1,2.079998,0,0,-7.997034,-0.4455684,7.995082,-0.391372,0.01618825,-0.7318561,4,
1,2.099998,0,0,-7.997027,-0.4454608,7.995075,-0.3912006,0.01619533,-0.7314738,4,
1,2.119998,0,0,-7.99702,-0.4453531,7.995068,-0.391029,0.01620235,-0.7310928,4,
1,2.139998,0,0,-7.997013,-0.4452453,7.995061,-0.3908575,0.01620934,-0.7307132,4,
1,2.159998,0,0,-7.997005,-0.4451375,7.995054,-0.3906859,0.0162163,-0.730335,4,
1,2.179998,0,0,-7.996998,-0.4450296,7.995047,-0.3905144,0.01622325,-0.7299582,4,
1,2.199998,0,0,-7.996991,-0.4449217,7.995039,-0.3903429,0.01623018,-0.7295827,4,
1,2.219998,0,0,-7.996984,-0.4448137,7.995032,-0.3901713,0.01623711,-0.7292085,4,
1,2.239998,0,0,-7.996977,-0.4447056,7.995025,-0.3899997,0.01624405,-0.7288356,4,
1,2.259998,0,0,-7.99697,-0.4445975,7.995018,-0.3898282,0.01625098,-0.7284641,4,
1,2.279998,0,0,-7.996963,-0.4444894,7.995011,-0.3896566,0.0162579,-0.728094,4,
1,2.299998,0,0,-7.996955,-0.4443812,7.995004,-0.389485,0.01626481,-0.7277251,4,
1,2.319998,0,0,-7.996948,-0.444273,7.994997,-0.3893133,0.0162717,-0.7273577,4,
1,2.339998,0,0,-7.996941,-0.4441647,7.994989,-0.3891416,0.01627857,-0.7269914,4,
1,2.359998,0,0,-7.996934,-0.4440563,7.994982,-0.3889699,0.01628543,-0.7266264,4,
1,2.379997,0,0,-7.996927,-0.4439479,7.994975,-0.3887982,0.01629225,-0.7262627,4,
