Trial,Result,Course
0,4.853109,0
1,5.267191,1
2,4.494524,2
3,5.227044,3
4,4.75824,4
5,5.292589,5
6,3.792573,6
7,4.550085,7
8,4.36949,8
9,6.362119,9

