Trial,Result,Course
0,4.786437,0
1,5.997704,1
2,4.946079,2
3,4.460062,3
4,4.978765,4
5,6.55262,5
6,4.411342,6
7,5.116477,7
8,6.538218,8
9,5.56404,9

