Trial,Result,Course
0,5.043386,0
1,5.556571,1
2,6.637977,2
3,5.679198,3
4,4.956071,4
5,5.828028,5
6,5.086158,6
7,4.988703,7
8,4.52585,8
9,5.835637,9

