Trial,Result,Course
0,4.285248,0
1,3.518476,1
2,4.285626,2
3,4.352962,3
4,4.856413,4
5,4.464653,5
6,3.772609,6
7,4.506153,7
8,3.662596,8
9,4.304104,9

