Trial,RestTime,LeftInput,RightInput,LeftPos_x,LeftPos_y,RightPos_x,RightPos_y,TargetPos_x,TargetPos_y,Course,
1,0.02,0,0,-7.998792,-0.4791761,7.997516,-0.449274,0.00541894,-0.9895364,0,
1,0.04,0,0,-7.998786,-0.4791214,7.997506,-0.4491347,0.005506244,-0.9876162,0,
1,0.06,0,0,-7.998781,-0.4790669,7.997496,-0.4489954,0.005594404,-0.9856154,0,
1,0.08,0,0,-7.998775,-0.4790125,7.997486,-0.4488558,0.005683208,-0.9835451,0,
1,0.09999999,0,0,-7.998769,-0.4789578,7.997476,-0.4487159,0.005772423,-0.9814168,0,
1,0.12,0,0,-7.998764,-0.4789028,7.997466,-0.4485756,0.005861839,-0.9792422,0,
1,0.14,0,0,-7.998758,-0.4788473,7.997456,-0.4484347,0.005951227,-0.9770331,0,
1,0.16,0,0,-7.998752,-0.478791,7.997446,-0.4482932,0.006040331,-0.9748013,0,
1,0.18,0,0,-7.998746,-0.4787337,7.997436,-0.4481509,0.006128954,-0.9725579,0,
1,0.2,0,0,-7.998741,-0.4786754,7.997426,-0.4480078,0.006216882,-0.9703141,0,
1,0.22,0,0,-7.998735,-0.4786158,7.997416,-0.4478637,0.006303902,-0.9680804,0,
1,0.24,0,0,-7.998729,-0.4785548,7.997406,-0.4477186,0.006389827,-0.9658662,0,
1,0.26,0,0,-7.998724,-0.4784923,7.997396,-0.4475724,0.006474482,-0.9636806,0,
1,0.28,0,0,-7.998718,-0.4784281,7.997386,-0.4474251,0.006557733,-0.9615316,0,
1,0.3,0,0,-7.998712,-0.4783622,7.997375,-0.4472766,0.006639451,-0.9594265,0,
1,0.32,0,0,-7.998706,-0.4782945,7.997365,-0.4471269,0.006719531,-0.9573715,0,
1,0.34,0,0,-7.998701,-0.4782251,7.997355,-0.4469759,0.006797904,-0.9553719,0,
1,0.36,0,0,-7.998695,-0.4781537,7.997345,-0.4468238,0.006874534,-0.9534318,0,
1,0.38,0,0,-7.998689,-0.4780807,7.997335,-0.4466706,0.006949401,-0.9515548,0,
1,0.4,0,0,-7.998683,-0.4780058,7.997325,-0.4465162,0.007022517,-0.9497432,0,
1,0.42,0,0,-7.998678,-0.4779293,7.997315,-0.4463608,0.007093905,-0.9479985,0,
1,0.4400001,0,0,-7.998672,-0.4778511,7.997305,-0.4462044,0.007163621,-0.9463214,0,
1,0.4600001,0,0,-7.998666,-0.4777714,7.997295,-0.4460471,0.007231751,-0.944712,0,
1,0.4800001,0,0,-7.998661,-0.4776903,7.997285,-0.4458891,0.007298414,-0.9431696,0,
1,0.5000001,0,0,-7.998655,-0.477608,7.997275,-0.4457304,0.007363715,-0.9416925,0,
1,0.52,0,0,-7.998649,-0.4775245,7.997265,-0.4455711,0.007427797,-0.9402791,0,
1,0.54,0,0,-7.998643,-0.4774401,7.997255,-0.4454114,0.007490801,-0.9389266,0,
