Trial,Result,Course
0,4.613388,0
1,6.255278,1
2,6.54186,2
3,5.714454,3
4,6.2174,4
5,4.526639,5
6,4.522119,6
7,5.857477,7
8,6.082001,8
9,4.53548,9

