Trial,RestTime,LeftInput,RightInput,LeftPos_x,LeftPos_y,RightPos_x,RightPos_y,TargetPos_x,TargetPos_y,Course,
1,0.02,0,0,-7.998769,-0.473914,7.997583,-0.4425529,0.002598834,-0.9255874,0,
1,0.04,0,0,-7.998763,-0.4738503,7.997573,-0.4423978,0.002665538,-0.9243751,0,
1,0.06,0,0,-7.998757,-0.473787,7.997563,-0.4422426,0.002732255,-0.9231058,0,
1,0.08,0,0,-7.998752,-0.4737239,7.997553,-0.4420874,0.002799169,-0.9217784,0,
1,0.09999999,0,0,-7.998746,-0.4736611,7.997543,-0.4419321,0.002866452,-0.920393,0,
1,0.12,0,0,-7.99874,-0.4735987,7.997533,-0.4417769,0.002934242,-0.9189503,0,
1,0.14,0,0,-7.998734,-0.4735368,7.997523,-0.441622,0.003002614,-0.9174522,0,
1,0.16,0,0,-7.998729,-0.4734752,7.997513,-0.4414673,0.003071637,-0.9159014,0,
1,0.18,0,0,-7.998723,-0.4734141,7.997503,-0.4413129,0.003141345,-0.9143016,0,
1,0.2,0,0,-7.998717,-0.4733534,7.997493,-0.4411589,0.003211749,-0.9126574,0,
1,0.22,0,0,-7.998712,-0.473293,7.997483,-0.4410052,0.003282826,-0.9109738,0,
1,0.24,0,0,-7.998706,-0.473233,7.997473,-0.440852,0.003354523,-0.9092566,0,
1,0.26,0,0,-7.9987,-0.4731732,7.997463,-0.440699,0.003426755,-0.9075117,0,
1,0.28,0,0,-7.998694,-0.4731135,7.997453,-0.4405464,0.003499486,-0.9057458,0,
1,0.3,0,0,-7.998689,-0.4730538,7.997443,-0.440394,0.003572599,-0.9039651,0,
1,0.32,0,0,-7.998683,-0.472994,7.997433,-0.4402416,0.003646007,-0.9021762,0,
1,0.34,0,0,-7.998677,-0.4729339,7.997423,-0.4400892,0.003719588,-0.9003853,0,
1,0.36,0,0,-7.998672,-0.4728733,7.997413,-0.4399366,0.003793247,-0.8985981,0,
1,0.38,0,0,-7.998666,-0.4728121,7.997403,-0.4397838,0.003866888,-0.8968205,0,
1,0.4,0,0,-7.99866,-0.4727502,7.997393,-0.4396305,0.003940419,-0.8950575,0,
1,0.42,0,0,-7.998654,-0.4726875,7.997383,-0.4394767,0.004013764,-0.8933136,0,
1,0.4400001,0,0,-7.998649,-0.4726238,7.997373,-0.4393222,0.004086855,-0.8915925,0,
1,0.4600001,0,0,-7.998643,-0.472559,7.997363,-0.439167,0.004159634,-0.8898975,0,
1,0.4800001,0,0,-7.998637,-0.472493,7.997353,-0.4390109,0.004232049,-0.8882312,0,
1,0.5000001,0,0,-7.998631,-0.4724258,7.997343,-0.4388539,0.004304065,-0.8865957,0,
1,0.52,0,0,-7.998626,-0.4723574,7.997333,-0.4386961,0.004375669,-0.8849921,0,
1,0.54,0,0,-7.99862,-0.4722877,7.997324,-0.4385373,0.004446849,-0.8834213,0,
1,0.56,0,0,-7.998614,-0.4722169,7.997315,-0.4383777,0.004517613,-0.8818838,0,
1,0.58,0,0,-7.998609,-0.472145,7.997306,-0.4382172,0.004587987,-0.8803794,0,
1,0.6,0,0,-7.998603,-0.4720719,7.997298,-0.4380561,0.004657998,-0.8789078,0,
1,0.6199999,0,0,-7.998597,-0.4719979,7.997289,-0.4378942,0.004727637,-0.8774683,0,
1,0.6399999,0,0,-7.998591,-0.4719231,7.997281,-0.4377317,0.004796965,-0.8760597,0,
1,0.6599999,0,0,-7.998586,-0.4718474,7.997272,-0.4375688,0.004865987,-0.8746813,0,
1,0.6799999,0,0,-7.99858,-0.4717712,7.997263,-0.4374055,0.004934739,-0.8733318,0,
1,0.6999999,0,0,-7.998574,-0.4716944,7.997255,-0.4372419,0.00500325,-0.8720101,0,
1,0.7199998,0,0,-7.998569,-0.4716171,7.997246,-0.4370782,0.005071532,-0.8707147,0,
1,0.7399998,0,0,-7.998563,-0.4715396,7.997238,-0.4369145,0.005139607,-0.8694445,0,
1,0.7599998,0,0,-7.998557,-0.4714619,7.997229,-0.4367507,0.005207482,-0.8681984,0,
1,0.7799998,0,0,-7.998551,-0.471384,7.997221,-0.4365869,0.005275175,-0.8669749,0,
1,0.7999998,0,0,-7.998546,-0.4713062,7.997212,-0.4364233,0.005342694,-0.865773,0,
1,0.8199998,0,0,-7.99854,-0.4712283,7.997203,-0.4362598,0.005410044,-0.8645915,0,
1,0.8399997,0,0,-7.998534,-0.4711505,7.997195,-0.4360965,0.005477216,-0.8634291,0,
1,0.8599997,0,0,-7.998528,-0.4710728,7.997186,-0.4359332,0.005544218,-0.8622847,0,
1,0.8799997,0,0,-7.998523,-0.4709951,7.997178,-0.4357702,0.005611063,-0.8611568,0,
1,0.8999997,0,0,-7.998517,-0.4709176,7.997169,-0.4356072,0.005677733,-0.8600442,0,
1,0.9199997,0,0,-7.998511,-0.4708402,7.99716,-0.4354442,0.005744235,-0.8589455,0,
1,0.9399996,0,0,-7.998506,-0.4707629,7.997152,-0.4352813,0.005810589,-0.8578595,0,
1,0.9599996,0,0,-7.9985,-0.4706857,7.997143,-0.4351184,0.005876787,-0.8567843,0,
1,0.9799996,0,0,-7.998494,-0.4706085,7.997135,-0.4349554,0.005942835,-0.8557185,0,
1,0.9999996,0,0,-7.998488,-0.4705314,7.997126,-0.4347922,0.006008744,-0.8546605,0,
1,1.02,0,0,-7.998483,-0.4704543,7.997118,-0.4346289,0.006074528,-0.8536085,0,
1,1.04,0,0,-7.998477,-0.4703772,7.997109,-0.4344654,0.006140187,-0.8525609,0,
1,1.06,0,0,-7.998471,-0.4703001,7.9971,-0.4343018,0.006205742,-0.8515161,0,
1,1.08,0,0,-7.998466,-0.470223,7.997092,-0.4341379,0.006271203,-0.8504725,0,
1,1.1,0,0,-7.99846,-0.4701459,7.997083,-0.4339738,0.006336585,-0.8494282,0,
1,1.12,0,0,-7.998454,-0.4700687,7.997075,-0.4338095,0.006401882,-0.8483822,0,
1,1.14,0,0,-7.998448,-0.4699916,7.997066,-0.433645,0.006467087,-0.847333,0,
1,1.159999,0,0,-7.998443,-0.4699144,7.997057,-0.4334804,0.006532188,-0.8462793,0,
1,1.179999,0,0,-7.998437,-0.4698372,7.997049,-0.4333157,0.006597188,-0.8452205,0,
1,1.199999,0,0,-7.998431,-0.46976,7.99704,-0.4331508,0.00666205,-0.8441556,0,
1,1.219999,0,0,-7.998425,-0.4696828,7.997032,-0.4329859,0.006726779,-0.8430841,0,
1,1.239999,0,0,-7.99842,-0.4696057,7.997023,-0.4328209,0.006791331,-0.8420057,0,
1,1.259999,0,0,-7.998414,-0.4695286,7.997015,-0.432656,0.006855667,-0.8409205,0,
1,1.279999,0,0,-7.998408,-0.4694515,7.997006,-0.4324911,0.006919741,-0.8398284,0,
1,1.299999,0,0,-7.998403,-0.4693744,7.996997,-0.4323263,0.006983532,-0.83873,0,
1,1.319999,0,0,-7.998397,-0.4692972,7.996989,-0.4321615,0.00704698,-0.8376256,0,
1,1.339999,0,0,-7.998391,-0.4692201,7.99698,-0.4319969,0.007110036,-0.8365161,0,
1,1.359999,0,0,-7.998385,-0.4691429,7.996972,-0.4318324,0.007172646,-0.8354023,0,
1,1.379999,0,0,-7.99838,-0.4690657,7.996963,-0.431668,0.007234783,-0.8342851,0,
1,1.399999,0,0,-7.998374,-0.4689884,7.996954,-0.4315037,0.007296388,-0.8331658,0,
1,1.419999,0,0,-7.998368,-0.4689109,7.996946,-0.4313394,0.007357419,-0.8320453,0,
1,1.439999,0,0,-7.998363,-0.4688333,7.996937,-0.4311753,0.007417821,-0.8309248,0,
1,1.459999,0,0,-7.998357,-0.4687554,7.996929,-0.4310111,0.007477557,-0.8298054,0,
1,1.479999,0,0,-7.998351,-0.4686773,7.99692,-0.430847,0.007536631,-0.8286881,0,
1,1.499999,0,0,-7.998345,-0.468599,7.996912,-0.4306829,0.007595011,-0.8275741,0,
1,1.519999,0,0,-7.99834,-0.4685203,7.996903,-0.4305187,0.007652685,-0.8264642,0,
1,1.539999,0,0,-7.998334,-0.4684412,7.996894,-0.4303545,0.007709635,-0.8253595,0,
1,1.559999,0,0,-7.998328,-0.4683617,7.996886,-0.4301902,0.007765882,-0.8242607,0,
1,1.579999,0,0,-7.998322,-0.4682819,7.996877,-0.4300258,0.007821425,-0.8231684,0,
1,1.599999,0,0,-7.998317,-0.4682016,7.996869,-0.4298612,0.007876281,-0.8220831,0,
1,1.619999,0,0,-7.998311,-0.4681209,7.99686,-0.4296964,0.007930488,-0.8210056,0,
1,1.639999,0,0,-7.998305,-0.4680398,7.996851,-0.4295315,0.007984077,-0.8199358,0,
1,1.659999,0,0,-7.9983,-0.4679582,7.996843,-0.4293665,0.008037089,-0.8188743,0,
