Trial,Result,Course
0,4.143411,0
1,4.491375,1
2,3.920968,2
3,5.850593,3
4,5.184708,4
5,5.477443,5
6,6.252968,6
7,4.476511,7
8,4.486452,8
9,5.885419,9

