Trial,RestTime,LeftInput,RightInput,LeftPos_x,LeftPos_y,RightPos_x,RightPos_y,TargetPos_x,TargetPos_y,Course,
1,0.02,0,0,-7.998803,-0.4732839,7.99751,-0.4434637,0.004202459,-1.005439,0,
1,0.04,0,0,-7.998797,-0.4732148,7.9975,-0.4433143,0.004279261,-1.004233,0,
1,0.06,0,0,-7.998791,-0.4731465,7.99749,-0.4431649,0.00435822,-1.002957,0,
1,0.08,0,0,-7.998785,-0.4730789,7.99748,-0.4430156,0.004439435,-1.001611,0,
1,0.09999999,0,0,-7.99878,-0.4730122,7.99747,-0.4428664,0.004522945,-1.000196,0,
1,0.12,0,0,-7.998774,-0.4729463,7.99746,-0.4427173,0.004608735,-0.9987152,0,
1,0.14,0,0,-7.998768,-0.4728813,7.99745,-0.4425685,0.004696728,-0.9971713,0,
1,0.16,0,0,-7.998763,-0.472817,7.99744,-0.4424199,0.004786829,-0.9955689,0,
1,0.18,0,0,-7.998757,-0.4727535,7.99743,-0.4422716,0.004878866,-0.9939132,0,
1,0.2,0,0,-7.998751,-0.4726906,7.99742,-0.4421236,0.004972633,-0.9922098,0,
1,0.22,0,0,-7.998745,-0.4726282,7.99741,-0.4419758,0.005067891,-0.9904655,0,
1,0.24,0,0,-7.99874,-0.4725662,7.9974,-0.4418282,0.005164403,-0.9886871,0,
1,0.26,0,0,-7.998734,-0.4725046,7.99739,-0.4416807,0.005261885,-0.9868817,0,
1,0.28,0,0,-7.998728,-0.4724429,7.99738,-0.4415333,0.005360039,-0.9850566,0,
1,0.3,0,0,-7.998723,-0.4723812,7.99737,-0.4413857,0.005458578,-0.983219,0,
1,0.32,0,0,-7.998717,-0.4723192,7.99736,-0.441238,0.00555722,-0.9813759,0,
1,0.34,0,0,-7.998711,-0.4722567,7.99735,-0.4410899,0.005655655,-0.9795338,0,
1,0.36,0,0,-7.998705,-0.4721936,7.99734,-0.4409413,0.005753595,-0.977699,0,
1,0.38,0,0,-7.9987,-0.4721296,7.99733,-0.4407923,0.005850796,-0.975877,0,
1,0.4,0,0,-7.998694,-0.4720646,7.99732,-0.4406425,0.005947023,-0.9740732,0,
1,0.42,0,0,-7.998688,-0.4719985,7.99731,-0.440492,0.006042059,-0.9722918,0,
1,0.4400001,0,0,-7.998682,-0.4719311,7.9973,-0.4403407,0.006135699,-0.9705368,0,
1,0.4600001,0,0,-7.998677,-0.4718624,7.99729,-0.4401885,0.006227785,-0.968811,0,
1,0.4800001,0,0,-7.998671,-0.4717923,7.99728,-0.4400354,0.006318199,-0.967117,0,
1,0.5000001,0,0,-7.998665,-0.4717207,7.99727,-0.4398814,0.006406815,-0.9654567,0,
1,0.52,0,0,-7.99866,-0.4716477,7.99726,-0.4397266,0.006493588,-0.9638312,0,
1,0.54,0,0,-7.998654,-0.4715733,7.99725,-0.439571,0.00657846,-0.9622415,0,
1,0.56,0,0,-7.998648,-0.4714975,7.99724,-0.4394147,0.006661438,-0.9606876,0,
1,0.58,0,0,-7.998642,-0.4714205,7.99723,-0.4392577,0.006742527,-0.9591697,0,
1,0.6,0,0,-7.998637,-0.4713422,7.99722,-0.4391002,0.006821789,-0.9576876,0,
1,0.6199999,0,0,-7.998631,-0.4712629,7.99721,-0.4389423,0.006899263,-0.9562404,0,
1,0.6399999,0,0,-7.998625,-0.4711826,7.9972,-0.438784,0.006975039,-0.9548274,0,
1,0.6599999,0,0,-7.99862,-0.4711015,7.99719,-0.4386255,0.007049222,-0.9534476,0,
1,0.6799999,0,0,-7.998614,-0.4710197,7.99718,-0.4384669,0.007121917,-0.9520999,0,
1,0.6999999,0,0,-7.998608,-0.4709373,7.997169,-0.4383083,0.007193272,-0.9507833,0,
1,0.7199998,0,0,-7.998602,-0.4708543,7.997159,-0.4381497,0.007263418,-0.9494965,0,
1,0.7399998,0,0,-7.998597,-0.470771,7.997149,-0.4379912,0.007332484,-0.9482383,0,
1,0.7599998,0,0,-7.998591,-0.4706875,7.997139,-0.437833,0.007400603,-0.9470074,0,
1,0.7799998,0,0,-7.998585,-0.4706037,7.997129,-0.4376749,0.007467968,-0.9458022,0,
1,0.7999998,0,0,-7.99858,-0.4705199,7.997119,-0.4375169,0.007534719,-0.9446214,0,
1,0.8199998,0,0,-7.998574,-0.470436,7.997109,-0.4373592,0.007601038,-0.9434637,0,
1,0.8399997,0,0,-7.998568,-0.4703521,7.997099,-0.4372016,0.007667049,-0.9423275,0,
1,0.8599997,0,0,-7.998562,-0.4702682,7.997089,-0.4370442,0.007732927,-0.9412112,0,
1,0.8799997,0,0,-7.998557,-0.4701844,7.997079,-0.4368868,0.007798816,-0.9401128,0,
1,0.8999997,0,0,-7.998551,-0.4701007,7.997069,-0.4367295,0.007864889,-0.9390309,0,
1,0.9199997,0,0,-7.998545,-0.4700171,7.997059,-0.4365722,0.007931268,-0.9379635,0,
1,0.9399996,0,0,-7.998539,-0.4699336,7.997049,-0.4364147,0.007998098,-0.9369087,0,
1,0.9599996,0,0,-7.998534,-0.4698503,7.997039,-0.4362572,0.008065509,-0.9358643,0,
1,0.9799996,0,0,-7.998528,-0.469767,7.997029,-0.4360994,0.008133601,-0.9348282,0,
1,0.9999996,0,0,-7.998522,-0.4696839,7.997019,-0.4359414,0.008202486,-0.9337987,0,
1,1.02,0,0,-7.998517,-0.4696009,7.997009,-0.4357832,0.008272256,-0.9327735,0,
1,1.04,0,0,-7.998511,-0.4695181,7.996999,-0.4356246,0.008342942,-0.9317507,0,
1,1.06,0,0,-7.998505,-0.4694354,7.996989,-0.4354658,0.008414619,-0.9307281,0,
1,1.08,0,0,-7.998499,-0.4693529,7.996979,-0.4353066,0.008487294,-0.9297041,0,
1,1.1,0,0,-7.998494,-0.4692705,7.99697,-0.4351472,0.008561001,-0.928677,0,
1,1.12,0,0,-7.998488,-0.4691883,7.996962,-0.4349874,0.00863568,-0.9276453,0,
1,1.14,0,0,-7.998482,-0.4691063,7.996953,-0.4348275,0.008711322,-0.9266077,0,
1,1.159999,0,0,-7.998477,-0.4690244,7.996944,-0.4346673,0.008787851,-0.9255631,0,
1,1.179999,0,0,-7.998471,-0.4689428,7.996936,-0.4345069,0.008865184,-0.9245107,0,
1,1.199999,0,0,-7.998465,-0.4688614,7.996927,-0.4343463,0.008943228,-0.9234499,0,
1,1.219999,0,0,-7.998459,-0.4687802,7.996919,-0.4341857,0.009021842,-0.9223804,0,
1,1.239999,0,0,-7.998454,-0.4686992,7.99691,-0.434025,0.009100895,-0.9213021,0,
1,1.259999,0,0,-7.998448,-0.4686183,7.996902,-0.4338642,0.009180242,-0.9202151,0,
1,1.279999,0,0,-7.998442,-0.4685376,7.996893,-0.4337034,0.009259714,-0.91912,0,
1,1.299999,0,0,-7.998436,-0.468457,7.996884,-0.4335426,0.009339157,-0.9180173,0,
1,1.319999,0,0,-7.998431,-0.4683765,7.996876,-0.4333819,0.009418397,-0.9169079,0,
1,1.339999,0,0,-7.998425,-0.4682961,7.996867,-0.4332213,0.009497263,-0.9157925,0,
1,1.359999,0,0,-7.998419,-0.4682157,7.996859,-0.4330607,0.009575571,-0.9146724,0,
1,1.379999,0,0,-7.998414,-0.4681352,7.99685,-0.4329002,0.009653138,-0.9135487,0,
1,1.399999,0,0,-7.998408,-0.4680546,7.996841,-0.4327397,0.009729813,-0.9124225,0,
1,1.419999,0,0,-7.998402,-0.4679739,7.996833,-0.4325793,0.009805469,-0.911295,0,
1,1.439999,0,0,-7.998396,-0.4678929,7.996824,-0.4324189,0.009879969,-0.9101676,0,
1,1.459999,0,0,-7.998391,-0.4678116,7.996816,-0.4322585,0.00995317,-0.9090413,0,
1,1.479999,0,0,-7.998385,-0.4677299,7.996807,-0.4320982,0.01002498,-0.9079174,0,
1,1.499999,0,0,-7.998379,-0.4676479,7.996799,-0.4319379,0.01009531,-0.9067969,0,
1,1.519999,0,0,-7.998374,-0.4675654,7.99679,-0.4317775,0.0101641,-0.9056807,0,
1,1.539999,0,0,-7.998368,-0.4674825,7.996781,-0.4316171,0.01023129,-0.9045698,0,
1,1.559999,0,0,-7.998362,-0.467399,7.996773,-0.4314567,0.01029686,-0.9034649,0,
