Trial,ResultCourse
0,1.46177,0
1,2.962594,4
2,1.294405,5
3,1.175601,9
4,0.4424644,2
5,1.943632,3
6,0.9931987,7
7,0.4429724,6
8,0.9212432,8
9,1.608184,1

