Trial,RestTime,LeftInput,RightInput,LeftPos_x,LeftPos_y,RightPos_x,RightPos_y,TargetPos_x,TargetPos_y,Course,
1,0.01999962,0,0,-7.997658,-0.4563069,7.995754,-0.4106686,0.01574287,-0.8077629,3,
1,0.0399996,0,0,-7.997653,-0.456206,7.995747,-0.4105001,0.01576715,-0.8071852,3,
1,0.05999959,0,0,-7.997647,-0.456105,7.99574,-0.4103316,0.01579157,-0.8066102,3,
1,0.07999957,0,0,-7.997641,-0.4560039,7.995733,-0.410163,0.01581614,-0.806038,3,
1,0.09999955,0,0,-7.997635,-0.4559028,7.995726,-0.4099944,0.0158409,-0.8054681,3,
1,0.1199995,0,0,-7.99763,-0.4558016,7.995718,-0.4098257,0.01586585,-0.8049011,3,
1,0.1399995,0,0,-7.997624,-0.4557004,7.995711,-0.4096569,0.01589102,-0.8043365,3,
1,0.1599995,0,0,-7.997618,-0.4555991,7.995704,-0.409488,0.0159164,-0.8037748,3,
1,0.1799995,0,0,-7.997612,-0.4554978,7.995697,-0.409319,0.01594202,-0.8032157,3,
1,0.1999995,0,0,-7.997607,-0.4553965,7.99569,-0.4091499,0.01596784,-0.8026592,3,
1,0.2199994,0,0,-7.997601,-0.4552951,7.995683,-0.4089808,0.01599387,-0.8021052,3,
1,0.2399994,0,0,-7.997595,-0.4551937,7.995676,-0.4088115,0.01602005,-0.8015538,3,
1,0.2599994,0,0,-7.99759,-0.4550923,7.995668,-0.4086422,0.01604638,-0.8010051,3,
1,0.2799994,0,0,-7.997584,-0.4549908,7.995661,-0.4084728,0.01607284,-0.8004587,3,
1,0.2999994,0,0,-7.997578,-0.4548892,7.995654,-0.4083034,0.01609937,-0.799915,3,
1,0.3199993,0,0,-7.997572,-0.4547876,7.995647,-0.4081338,0.01612596,-0.7993738,3,
1,0.3399993,0,0,-7.997567,-0.454686,7.99564,-0.4079642,0.01615255,-0.7988351,3,
1,0.3599993,0,0,-7.997561,-0.4545843,7.995633,-0.4077945,0.01617909,-0.7982988,3,
1,0.3799993,0,0,-7.997555,-0.4544826,7.995625,-0.4076248,0.01620555,-0.797765,3,
1,0.3999993,0,0,-7.99755,-0.4543807,7.995618,-0.407455,0.01623188,-0.7972333,3,
1,0.4199992,0,0,-7.997544,-0.4542788,7.995611,-0.4072852,0.016258,-0.7967041,3,
1,0.4399992,0,0,-7.997538,-0.4541768,7.995604,-0.4071154,0.01628391,-0.7961771,3,
1,0.4599992,0,0,-7.997532,-0.4540747,7.995597,-0.4069455,0.01630954,-0.7956524,3,
1,0.4799992,0,0,-7.997527,-0.4539726,7.99559,-0.4067756,0.01633484,-0.79513,3,
1,0.4999992,0,0,-7.997521,-0.4538703,7.995583,-0.4066057,0.01635979,-0.7946098,3,
1,0.5199991,0,0,-7.997515,-0.4537679,7.995575,-0.4064358,0.01638431,-0.7940916,3,
1,0.5399991,0,0,-7.997509,-0.4536654,7.995568,-0.4062659,0.01640841,-0.7935756,3,
1,0.5599991,0,0,-7.997504,-0.4535628,7.995561,-0.406096,0.01643203,-0.7930617,3,
1,0.5799991,0,0,-7.997498,-0.4534601,7.995554,-0.4059261,0.01645517,-0.7925499,3,
1,0.5999991,0,0,-7.997492,-0.4533573,7.995547,-0.4057562,0.01647775,-0.7920401,3,
1,0.6199991,0,0,-7.997487,-0.4532543,7.99554,-0.4055863,0.0164998,-0.7915324,3,
1,0.639999,0,0,-7.997481,-0.4531512,7.995533,-0.4054165,0.01652129,-0.7910267,3,
1,0.659999,0,0,-7.997475,-0.453048,7.995525,-0.4052468,0.01654219,-0.7905231,3,
1,0.679999,0,0,-7.997469,-0.4529446,7.995518,-0.4050771,0.01656254,-0.7900214,3,
1,0.699999,0,0,-7.997464,-0.452841,7.995511,-0.4049073,0.01658232,-0.7895216,3,
1,0.719999,0,0,-7.997458,-0.4527374,7.995504,-0.4047377,0.01660156,-0.7890238,3,
1,0.7399989,0,0,-7.997452,-0.4526336,7.995497,-0.4045681,0.01662025,-0.788528,3,
1,0.7599989,0,0,-7.997447,-0.4525297,7.99549,-0.4043985,0.01663841,-0.7880342,3,
1,0.7799989,0,0,-7.997441,-0.4524255,7.995482,-0.404229,0.01665609,-0.7875423,3,
1,0.7999989,0,0,-7.997435,-0.4523214,7.995475,-0.4040594,0.01667329,-0.7870523,3,
1,0.8199989,0,0,-7.997429,-0.452217,7.995468,-0.40389,0.01669004,-0.7865643,3,
1,0.8399988,0,0,-7.997424,-0.4521125,7.995461,-0.4037205,0.01670639,-0.7860783,3,
1,0.8599988,0,0,-7.997418,-0.4520079,7.995454,-0.4035511,0.01672236,-0.7855942,3,
1,0.8799988,0,0,-7.997412,-0.4519031,7.995447,-0.4033816,0.01673799,-0.785112,3,
1,0.8999988,0,0,-7.997406,-0.4517983,7.99544,-0.4032122,0.01675333,-0.7846317,3,
1,0.9199988,0,0,-7.997401,-0.4516933,7.995432,-0.4030429,0.01676839,-0.7841533,3,
1,0.9399987,0,0,-7.997395,-0.4515882,7.995425,-0.4028735,0.01678324,-0.7836768,3,
1,0.9599987,0,0,-7.997389,-0.4514831,7.995418,-0.4027041,0.01679792,-0.7832022,3,
1,0.9799987,0,0,-7.997384,-0.4513778,7.995411,-0.4025347,0.01681245,-0.7827296,3,
1,0.9999987,0,0,-7.997378,-0.4512725,7.995404,-0.4023653,0.01682689,-0.7822589,3,
1,1.019999,0,0,-7.997372,-0.4511671,7.995397,-0.4021959,0.01684127,-0.7817902,3,
1,1.039999,0,0,-7.997365,-0.4510616,7.995389,-0.4020264,0.01685561,-0.7813232,3,
1,1.059999,0,0,-7.997357,-0.450956,7.995382,-0.401857,0.01686997,-0.780858,3,
1,1.079999,0,0,-7.99735,-0.4508504,7.995375,-0.4016875,0.01688435,-0.7803948,3,
1,1.099999,0,0,-7.997343,-0.4507447,7.995368,-0.401518,0.01689879,-0.7799334,3,
1,1.119999,0,0,-7.997336,-0.4506389,7.995361,-0.4013484,0.01691328,-0.779474,3,
1,1.139999,0,0,-7.997329,-0.4505332,7.995354,-0.4011787,0.01692788,-0.7790163,3,
1,1.159999,0,0,-7.997322,-0.4504273,7.995347,-0.4010091,0.01694256,-0.7785605,3,
1,1.179999,0,0,-7.997314,-0.4503214,7.995339,-0.4008394,0.01695737,-0.7781066,3,
1,1.199999,0,0,-7.997307,-0.4502155,7.995332,-0.4006696,0.01697228,-0.7776545,3,
1,1.219999,0,0,-7.9973,-0.4501095,7.995325,-0.4004998,0.0169873,-0.7772042,3,
1,1.239999,0,0,-7.997293,-0.4500035,7.995318,-0.40033,0.01700242,-0.7767556,3,
1,1.259999,0,0,-7.997286,-0.4498975,7.995311,-0.4001601,0.01701764,-0.776309,3,
1,1.279999,0,0,-7.997279,-0.4497914,7.995304,-0.3999902,0.01703293,-0.7758642,3,
1,1.299999,0,0,-7.997272,-0.4496853,7.995296,-0.3998202,0.0170483,-0.775421,3,
1,1.319999,0,0,-7.997264,-0.4495791,7.995289,-0.3996502,0.01706369,-0.7749797,3,
1,1.339998,0,0,-7.997257,-0.4494728,7.995282,-0.3994801,0.01707911,-0.7745401,3,
1,1.359998,0,0,-7.99725,-0.4493666,7.995275,-0.39931,0.01709453,-0.7741024,3,
1,1.379998,0,0,-7.997243,-0.4492602,7.995268,-0.3991398,0.01710993,-0.7736664,3,
1,1.399998,0,0,-7.997236,-0.4491538,7.995261,-0.3989696,0.01712527,-0.773232,3,
1,1.419998,0,0,-7.997229,-0.4490474,7.995254,-0.3987994,0.01714054,-0.7727994,3,
1,1.439998,0,0,-7.997221,-0.4489409,7.995246,-0.3986292,0.01715567,-0.7723686,3,
1,1.459998,0,0,-7.997214,-0.4488343,7.995239,-0.398459,0.01717066,-0.7719394,3,
1,1.479998,0,0,-7.997207,-0.4487277,7.995232,-0.3982887,0.01718548,-0.7715119,3,
1,1.499998,0,0,-7.9972,-0.448621,7.995225,-0.3981184,0.01720007,-0.7710859,3,
1,1.519998,0,0,-7.997193,-0.4485142,7.995218,-0.3979481,0.01721442,-0.7706617,3,
1,1.539998,0,0,-7.997186,-0.4484074,7.995211,-0.3977778,0.01722851,-0.7702391,3,
1,1.559998,0,0,-7.997179,-0.4483004,7.995203,-0.3976075,0.01724228,-0.769818,3,
1,1.579998,0,0,-7.997171,-0.4481933,7.995196,-0.3974373,0.01725575,-0.7693986,3,
1,1.599998,0,0,-7.997164,-0.4480862,7.995189,-0.397267,0.01726889,-0.7689807,3,
1,1.619998,0,0,-7.997157,-0.447979,7.995182,-0.3970968,0.01728167,-0.7685645,3,
1,1.639998,0,0,-7.99715,-0.4478717,7.995175,-0.3969266,0.01729408,-0.7681498,3,
1,1.659998,0,0,-7.997143,-0.4477643,7.995168,-0.3967563,0.01730612,-0.7677367,3,
1,1.679998,0,0,-7.997136,-0.4476568,7.995161,-0.3965861,0.01731777,-0.7673251,3,
1,1.699998,0,0,-7.997128,-0.4475492,7.995153,-0.396416,0.01732903,-0.766915,3,
1,1.719998,0,0,-7.997121,-0.4474415,7.995146,-0.3962459,0.01733988,-0.7665063,3,
1,1.739998,0,0,-7.997114,-0.4473336,7.995139,-0.3960758,0.01735034,-0.7660992,3,
1,1.759998,0,0,-7.997107,-0.4472257,7.995132,-0.3959058,0.01736043,-0.7656937,3,
1,1.779998,0,0,-7.9971,-0.4471177,7.995125,-0.3957358,0.01737013,-0.7652895,3,
1,1.799998,0,0,-7.997093,-0.4470095,7.995118,-0.3955657,0.01737948,-0.7648869,3,
1,1.819998,0,0,-7.997086,-0.4469013,7.995111,-0.3953958,0.01738848,-0.7644858,3,
1,1.839998,0,0,-7.997078,-0.4467929,7.995103,-0.3952258,0.01739714,-0.7640861,3,
1,1.859998,0,0,-7.997071,-0.4466845,7.995096,-0.3950559,0.01740547,-0.7636879,3,
1,1.879998,0,0,-7.997064,-0.4465759,7.995089,-0.394886,0.01741352,-0.7632911,3,
1,1.899998,0,0,-7.997057,-0.4464673,7.995082,-0.3947161,0.01742129,-0.7628959,3,
